"","ID","Case.Number","Date","Block","IUCR","Primary.Type","Description","Location.Description","Arrest","Domestic","Beat","District","Ward","Community.Area","FBI.Code","X.Coordinate","Y.Coordinate","Year","Updated.On","Latitude","Longitude","Location"
"7502",11147181,"JA509113","11/12/2017 02:30:00 PM","026XX N NEWLAND AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","RESIDENTIAL YARD (FRONT/BACK)","false","false",2512,25,36,18,"07",1129639,1916776,2017,"02/10/2018 03:50:01 PM",41.927917597,-87.799050114,"(41.927917597, -87.799050114)"
"7503",11147217,"JA509190","11/12/2017 04:00:00 PM","052XX W HURON ST","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",1524,15,28,25,"07",1141094,1904121,2017,"02/10/2018 03:50:01 PM",41.892987273,-87.757268972,"(41.892987273, -87.757268972)"
"7504",11147224,"JA509095","11/11/2017 11:30:00 PM","063XX S ABERDEEN ST","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",724,7,16,68,"07",1170068,1862864,2017,"02/10/2018 03:50:01 PM",41.779191153,-87.652060298,"(41.779191153, -87.652060298)"
"7505",11147233,"JA509170","11/12/2017 01:30:00 AM","052XX W CRYSTAL ST","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",2532,25,37,25,"07",1141240,1907824,2017,"02/10/2018 03:50:01 PM",41.903146051,-87.756641346,"(41.903146051, -87.756641346)"
"7506",11147312,"JA509347","11/12/2017 06:30:00 PM","015XX S INDIANA AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","true","false",132,1,2,33,"07",1177914,1892619,2017,"02/10/2018 03:50:01 PM",41.860667176,-87.622393663,"(41.860667176, -87.622393663)"
"7507",11147333,"JA509327","11/12/2017 05:00:00 PM","064XX W FULLERTON AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","PARKING LOT/GARAGE(NON.RESID.)","false","false",2512,25,36,19,"07",1133118,1915251,2017,"02/10/2018 03:50:01 PM",41.923672617,-87.786301606,"(41.923672617, -87.786301606)"
"7508",11147378,"JA509057","11/12/2017 02:00:00 PM","015XX E 74TH ST","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",324,3,5,43,"07",1187754,1856228,2017,"02/10/2018 03:50:01 PM",41.760578606,-87.58743336,"(41.760578606, -87.58743336)"
"7509",11147389,"JA509406","11/12/2017 08:19:00 PM","019XX S SPAULDING AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",1022,10,24,29,"07",1154669,1890330,2017,"02/10/2018 03:50:01 PM",41.854882401,-87.707781928,"(41.854882401, -87.707781928)"
"7510",11147393,"JA509397","11/12/2017 07:55:00 PM","076XX S HALSTED ST","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","GAS STATION","false","false",621,6,17,71,"07",1172289,1854291,2017,"02/10/2018 03:50:01 PM",41.755617231,-87.644169735,"(41.755617231, -87.644169735)"
"7511",11147407,"JA509417","11/12/2017 08:00:00 AM","087XX S MUSKEGON AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",423,4,7,46,"07",1196527,1847586,2017,"02/10/2018 03:50:01 PM",41.736651062,-87.55556692,"(41.736651062, -87.55556692)"
"7512",11147439,"JA509364","11/12/2017 04:30:00 PM","015XX E 73RD PL","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",324,3,5,43,"07",1187671,1856558,2017,"02/10/2018 03:50:01 PM",41.76148613,-87.587727071,"(41.76148613, -87.587727071)"
"7513",11147488,"JA509552","11/12/2017 05:00:00 PM","010XX N CLARK ST","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",1824,18,42,8,"07",1175345,1907486,2017,"02/10/2018 03:50:01 PM",41.90152109,-87.631377396,"(41.90152109, -87.631377396)"
"7514",11147544,"JA509531","11/12/2017 10:50:00 PM","019XX W OGDEN AVE","0930","MOTOR VEHICLE THEFT","THEFT/RECOVERY: AUTOMOBILE","HOSPITAL BUILDING/GROUNDS","true","false",1231,12,2,28,"07",1163312,1897077,2017,"02/10/2018 03:50:01 PM",41.873219626,-87.675868666,"(41.873219626, -87.675868666)"
"7515",11147603,"JA508465","11/12/2017 12:11:00 AM","087XX S COTTAGE GROVE AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","GAS STATION","false","false",632,6,8,44,"07",1183089,1847266,2017,"02/10/2018 03:50:01 PM",41.73609565,-87.604808666,"(41.73609565, -87.604808666)"
"7516",11147610,"JA509660","11/12/2017 06:00:00 PM","107XX S AVENUE D","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",432,4,10,52,"07",1204129,1834278,2017,"02/10/2018 03:50:01 PM",41.699941058,-87.528172356,"(41.699941058, -87.528172356)"
