"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF1","WDF2","WDF5","WSF1","WSF2","WSF5"
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-04-24",,,,"0.01","0.0","0.0",,"60","42",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-04-25",,,,"0.00","0.0","0.0",,"71","35",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-04-26",,,,"0.00","0.0","0.0",,"74","40",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-04-27",,,,"0.00","0.0","0.0",,"80","46",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-04-28",,,,"0.00","0.0","0.0",,"80","48",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-04-29",,,,"0.11","0.0","0.0",,"78","51",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-04-30",,,,"0.00","0.0","0.0",,"80","50",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-05-01",,,,"0.00","0.0","0.0",,"79","58",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-05-02",,,,"0.00","0.0","0.0",,"83","55",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-05-03",,,,"0.00","0.0","0.0",,"85","54",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-05-04",,,,"0.00","0.0","0.0",,"88","58",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-05-05",,,,"0.00","0.0","0.0",,"90","58",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-05-06",,,,"0.40","0.0","0.0",,"82","61",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-05-07",,,,"0.02","0.0","0.0",,"85","62",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-05-08",,,,"0.54","0.0","0.0",,"70","54",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-05-09",,,,"0.00","0.0","0.0",,"61","51",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-05-10",,,,"0.00","0.0","0.0",,"61","37",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-05-11",,,,"0.00","0.0","0.0",,"66","35",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-05-12",,,,"0.00","0.0","0.0",,"71","34",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-05-13",,,,"0.00","0.0","0.0",,"79","41",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-05-14",,,,"0.00","0.0","0.0",,"84","54",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-05-15",,,,"0.00","0.0","0.0",,"86","58",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-05-16",,,,"0.66","0.0","0.0",,"67","48",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-05-17",,,,"0.07","0.0","0.0",,"60","48",,,,,,
